Localidad;Codigo postal;Direccion;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasoleo A;Precio gasoleo B;Precio gasoleo de uso maritimo;Rotulo;Tipo venta;Rem.;Horario
FISTERRA;15155;MUELLE PESQUERO, S/N ;-9,001525;42,99886;;;;841;799;REPSOL;Suministro a pesqueros;OM;L-D: 24H
LAXE;15117;MUELLE PESQUERO, S/N ;-9,001803;43,223304;;;;851;799;REPSOL;Suministro a pesqueros;OM;L-D: 24H
MALPICA;15113;MUELLE PESQUERO, S/N ;-8,808192;43,323304;;;;851;801;REPSOL;Suministro a pesqueros;OM;L-D: 24H
MUROS;15250;MUELLE PESQUERO S/N;-9,055969;42,776082;1,684;;1,655;851;801;REPSOL;Mixto;OM;L-D: 24H
MUXIA;15124;MUELLE PESQUERO, S/N ;-9,214858;43,105804;;;;851;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
POBRA DO CARAMINAL;15940;MUELLE COMERCIAL S/N;-8,935417;42,609083;1,659;;1,659;970;;AVIA;Mixto;dm;L-D: 07:00-23:00
PORTO DO SON;15970;MUELLE PESQUERO, S/N ;-9,003469;42,726638;;;;843;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
PORTOSIN;15999;MUELLE PESQUERO, S/N ;-8,947358;42,760804;;;;826;;REPSOL;Mixto;OM;L-D: 24H
RIANXO;15920;PORTO DE RIANXO, S/N;-8,822417;42,647389;1,699;;1,689;860;;VALCARCE;Mixto;dm;L: 07:00-23:00
SANTA UXIA DE RIBEIRA;15960;MUELLE PESQUERO, S/N ;-8,989025;42,56136;;;;786;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SADA;15160;MUELLE PESQUERO, S/N ;-8,246525;43,362749;1,684;;1,679;851;799;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SADA;15160;AVENIDA DEL PUERTO, S/N;-8,248306;43,357556;1,68;;1,71;;;SADAMAR - GALP;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
GETARIA;20808;MUELLE PESQUERO S/N;-2,127945;43,275584;;;;770;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
HONDARRIBIA;20280;PASEO IRIBARREN, S/N;-1,790722;43,388361;;;;770;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
PASAI DONIBANE;20110;MUELLE DONI-BANE S/N;-1,911389;43,32225;;;;770;;REPSOL;Suministro a pesqueros;OM;L-D: 08:00-13:00 y 15:00-17:00
BLANES;17300;ESPLANADA DEL PORT S/N;2,797889;41,675083;1,839;;1,719;;;CLUB VELA BLANES;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
BLANES;17300;ESPLANADA DEL PORT,S/N;2,791333;41,675917;;;;823;;PETROCAT;Suministro a pesqueros;dm;L-V: 15:00-18:00
CASTELLO D'EMPURIES;17487;SECTOR CLUB NAUTICO, S.N.;42,24948;3,13621;;1,77;1,74;;;E.S. MARINA EMPURIABRAVA;Suministro a barcos deportivos o de recreo;dm;L: 09:00-13:00 y 15:00-19:00
ESCALA (L');17130;PORT LA CLOTA S/N;3,126222;42,119194;1,729;;1,669;;;CLUB NAUTIC L'ESCALA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
LLAFRANC;17200;PUERTO DEPORTIVO S/N;41,892915;3,1975014;;1,76;1,73;;;REPSOL YPF;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 16:00-18:00
PALAMOS;17230;MUELLE PESQUERO, S/N;3,036364;41,77918;;;;812;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
PORT DE LA SELVA (EL);17489;LLOIA S/N;42,34209;3,201099;1,889;;1,779;;;NINGUNO;Suministro a barcos deportivos o de recreo;dm;L: 09:00-13:00 y 15:00-17:00
ROSES;17480;ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES;42,255419;3,178545;1,799;;1,699;;;PETREM MAR;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
ROSES;17480;MUELLE PESQUERO, S/N ;3,17942;42,252791;;;;798;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SANT FELIU DE GUIXOLS;17220;ZONA ESPORTIVA DEL PORT, S/N ;3,030528;41,773889;1,7;;1,65;;;CLUB NAUTIC SANT FELIU DE GUIXOLS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
SELVA DE MAR (LA) NUCLI;17489;MUELLE PESQUERO, S/N ;3,200253;42,340846;;;;813;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
TORROELLA DE MONTGRI;17258;ESPLANA DEL PORT S/N L'ESTARTIT;3,203972;42,052278;;;;909;;NO HAY;Mixto;dm;"X: 08:00-12:00; V: 08:00-12:00"
TORROELLA DE MONTGRI;17258;PASSEIG MARITIM, S/N;42,053952;3,202353;1,884;;1,747;;;CLUB NAUTIC ESTARTIT;Suministro a barcos deportivos o de recreo;dm;L: 08:00-17:45
PUNTA UMBRIA;21100;MUELLE DEPORTIVO PUNTA UMBRIA, S/N - AVDA. LA RIA, S/N;-6,959417;37,18175;1,729;;1,739;;;CEPSA;Suministro a barcos deportivos o de recreo;OM;"L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00"
BURELA;27880;MUELLE PESQUERO, S/N ;-7,254818;43,660537;;;;776;739;REPSOL;Suministro a pesqueros;OM;L-D: 24H
RIBADEO;27700;MUELLE PESQUERO, S/N ;-7,038707;43,532759;;;;841;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
CELEIRO;27863;MUELLE PESQUERO, S/N ;-7,595929;43,67637;;;;776;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
FUENGIROLA;29640;PUERTO PESQUERO-DEPORTIVO;-4,61575;36,542333;1,832;;1,82;822;;REPSOL;Mixto;OM;L-D: 24H
MANILVA;29691;PUERTO DEPORTIVO DE LA DUQUESA;36,3561;-5,231335;1,861;;1,851;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
MARBELLA;29600;PUERTO DEPORTIVO MARBELLA;-4,889944;36,505833;1,719;;1,709;;;ENERPUS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
CALETA DE VELEZ;29751;PUERTO PESQUERO,S/N ;-4,069361;36,747611;1,82;;1,81;813;;REPSOL;Mixto;OM;L-D: 24H
MELILLA;52001;P  MARITIMO ALCALDE RAFAEL GINEL S/N;-2,933278;35,2885;1,233;;1,234;;;SHELL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-22:00
AGUILAS;30880;MUELLE PESQUERO, S/N;-1,57872;37,402935;;;;808;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
